bezirk,avg_rent_sqm,median_rent_sqm,avg_base_rent,avg_living_space,listing_count,avg_total_rent,district_name,avg_monthly_income_eur,median_monthly_income_eur,unemployment_rate_pct,population,transfer_income_share_pct,district_id,GESIx_2013,GESIx_2022,ESIx_2013,ESIx_2022,DI_2013,DI_2022,DII_2013,DII_2022,DIII_2013,DIII_2022,avg_monthly_rent,rent_burden_pct,median_rent_burden_pct,affordability_class
Charlottenburg-Wilmersdorf,16.121473411047603,15.237556561085972,1676.0162,104.359464,1250,1952.250652173913,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,4,0.86882114,0.94790566,0.74117738,0.83007973,0.96523058,0.93731552,0.4707188,0.7146678,1.0460889,1.1423326,1676.0162,69.83400833333333,41.55697243932538,Severely Burdened
Friedrichshain-Kreuzberg,17.079348569092495,16.157264759942816,1315.6865446224256,79.13649885583524,874,1510.2249244332495,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,2,-0.91335678,-0.40823063,-0.88332433,-0.19761552,-0.55511898,-0.16301785,-1.1562245,-0.23026672,-0.89404488,-0.81685513,1315.6865446224256,69.24666024328555,55.39633631980394,Severely Burdened
Lichtenberg,11.380984657205403,10.987063618642566,767.173081081081,68.18742342342341,555,937.8529313543598,Lichtenberg,1800,1650,9.5,296000,14.5,11,0.072299019,-0.023899317,0.16111486,0.039579716,-0.11033992,-0.031857442,0.42248219,0.11062703,-0.10865313,-0.15106227,767.173081081081,42.62072672672672,39.95295861324569,Stressed
Marzahn-Hellersdorf,9.036844803704383,8.88432580424367,584.6413028764806,65.1419627749577,591,760.180054054054,Marzahn-Hellersdorf,1750,1600,10.8,269000,17.0,10,-0.18839252,-0.01210769,-0.43832806,-0.092937075,-0.92967212,-0.24761039,0.080459893,0.062651657,0.31626168,0.15352137,584.6413028764806,33.408074450084605,33.31622176591376,Moderate
Mitte,17.53929555402481,17.08952238059515,1523.2924762407604,87.70984160506863,1894,1818.14684327942,Mitte,1850,1650,12.8,384000,22.5,1,-1.5088198,-1.0319133,-1.3085771,-0.93678898,-1.2170444,-0.8986429,-1.3181792,-0.9657079,-1.7734032,-1.1774333,1523.2924762407604,82.34013385085191,62.14371774761872,Severely Burdened
Neukölln,13.256069527683481,13.212765957446807,950.6117933723197,72.48518518518519,513,1171.6869672131147,Neukölln,1650,1500,14.1,329000,24.0,8,-1.4153708,-1.6312941,-1.4814022,-1.7819841,-1.1782643,-1.7242346,-1.6917889,-1.8221813,-1.1652914,-1.2505708,950.6117933723197,57.612835961958766,52.85106382978723,Severely Burdened
Pankow,14.36439260938763,13.42003773081413,1191.6196497373028,82.64260070052539,1142,1371.9852215799615,Pankow,2200,2050,6.5,413000,9.5,3,0.87268221,1.1949542,1.2019987,1.3821182,1.197265,1.2439773,1.1314749,1.5066454,0.15316981,0.76098776,1191.6196497373028,54.16452953351376,39.27815921213892,Severely Burdened
Reinickendorf,11.047514631140377,10.659718109676655,816.5023017408124,74.5617988394584,517,1019.8996981891348,Reinickendorf,1800,1650,10.2,265000,16.0,12,-0.091231301,-0.46939251,-0.056989349,-0.50388205,-0.1658522,-0.55108762,0.055441637,-0.45171329,-0.15092219,-0.37738416,816.5023017408124,45.361238985600686,38.762611307915115,Stressed
Spandau,9.766914337144756,9.362398018648019,702.4019607843137,72.57557189542484,612,884.2972679509633,Spandau,1700,1550,11.5,245000,18.5,5,-0.71452999,-1.1689726,-0.71971881,-1.0973353,-0.90177584,-1.0551138,-0.49259999,-1.1287484,-0.64433748,-1.2605367,702.4019607843137,41.31776239907728,36.24154071734717,Stressed
Steglitz-Zehlendorf,12.88182680215354,12.06896551724138,1196.8579844961241,91.54286821705426,645,1425.8621241830065,Steglitz-Zehlendorf,2600,2400,5.2,310000,7.0,6,1.6453645,1.5523623,1.553916,1.4703928,1.685447,1.6501418,1.3250939,1.2761607,1.6856836,1.6455822,1196.8579844961241,46.03299940369708,30.17241379310345,Stressed
Tempelhof-Schöneberg,13.9111127950263,13.017093119612298,1140.5238379204893,85.05681957186545,654,1357.2209807073955,Tempelhof-Schöneberg,2100,1950,8.3,351000,13.5,7,0.40271965,0.18492582,0.16336592,0.06754297,0.31599423,0.094738036,0.0005092108,0.039682612,0.83826703,0.41430613,1140.5238379204893,54.31065894859473,40.052594214191686,Severely Burdened
Treptow-Köpenick,11.969029264056813,11.495677767676204,846.0966760828626,72.93656308851224,1062,1033.861292929293,Treptow-Köpenick,2050,1900,7.0,274000,10.5,9,0.96981478,0.86566222,1.0667669,0.82082963,0.89413083,0.74539196,1.1726123,0.88818234,0.69718117,0.91711223,846.0966760828626,41.27300858940794,36.302140318977486,Stressed
