regio1,regio2,regio3,baseRent,totalRent,livingSpace,noRooms,floor,numberOfFloors,yearConstructed,condition,interiorQual,lift,balcony,hasKitchen,cellar,garden,typeOfFlat,serviceCharge,heatingType,newlyConst,picturecount,pricetrend,date,rent_per_sqm,neighborhood,district_part,bezirk,date_clean,district_name,avg_monthly_income_eur,median_monthly_income_eur,unemployment_rate_pct,population,transfer_income_share_pct,rent_burden_pct
Berlin,Berlin,Staaken_Spandau,820.0,1140.0,77.0,3.0,0.0,3.0,,,,True,True,True,False,False,ground_floor,320.0,central_heating,False,10,4.99,Feb20,10.64935064935065,Staaken,Spandau,Spandau,2020-02,Spandau,1700,1550,11.5,245000,18.5,48.23529411764706
Berlin,Berlin,Weißensee_Weißensee,808.0,955.0,62.63,2.0,0.0,3.0,1918.0,refurbished,,False,False,False,False,False,ground_floor,79.0,central_heating,False,17,7.35,Oct19,12.901165575602748,Weißensee,Weißensee,Pankow,2019-10,Pankow,2200,2050,6.5,413000,9.5,36.72727272727273
Berlin,Berlin,Mitte_Mitte,1150.0,1300.0,46.4,2.0,3.0,5.0,2019.0,first_time_use,luxury,True,True,True,True,False,apartment,150.0,floor_heating,True,15,6.6,Oct19,24.78448275862069,Mitte,Mitte,Mitte,2019-10,Mitte,1850,1650,12.8,384000,22.5,62.16216216216216
Berlin,Berlin,Kreuzberg_Kreuzberg,1200.0,1428.78,67.0,2.5,6.0,7.0,2017.0,mint_condition,sophisticated,True,True,True,True,False,apartment,228.78,floor_heating,False,2,8.63,Oct19,17.91044776119403,Kreuzberg,Kreuzberg,Friedrichshain-Kreuzberg,2019-10,Friedrichshain-Kreuzberg,1900,1750,9.2,289000,16.8,63.1578947368421
Berlin,Berlin,Tiergarten_Tiergarten,1338.43,1559.05,73.54,2.0,0.0,6.0,2019.0,first_time_use,sophisticated,True,True,True,True,False,ground_floor,147.08,district_heating,True,9,7.56,Feb20,18.200027196083763,Tiergarten,Tiergarten,Mitte,2020-02,Mitte,1850,1650,12.8,384000,22.5,72.34756756756757
Berlin,Berlin,Grünau_Köpenick,1048.0,1280.0,83.14,3.0,1.0,2.0,2014.0,mint_condition,sophisticated,False,True,True,True,False,apartment,232.0,combined_heat_and_power_plant,False,21,4.99,Oct19,12.605244166466202,Grünau,Köpenick,Treptow-Köpenick,2019-10,Treptow-Köpenick,2050,1900,7.0,274000,10.5,51.1219512195122
Berlin,Berlin,Marzahn_Marzahn,435.61,656.72,62.23,3.0,16.0,,1980.0,modernized,,True,True,False,False,False,apartment,221.11,district_heating,False,8,6.06,Oct19,7.000000000000001,Marzahn,Marzahn,Marzahn-Hellersdorf,2019-10,Marzahn-Hellersdorf,1750,1600,10.8,269000,17.0,24.892
Berlin,Berlin,Köpenick_Köpenick,910.0,,105.92,4.0,1.0,2.0,1870.0,refurbished,sophisticated,False,True,True,True,True,maisonette,105.0,gas_heating,False,15,8.54,Feb20,8.591389728096676,Köpenick,Köpenick,Treptow-Köpenick,2020-02,Treptow-Köpenick,2050,1900,7.0,274000,10.5,44.390243902439025
Berlin,Berlin,Neu_Hohenschönhausen_Hohenschönhausen,699.0,861.0,71.2,3.0,4.0,,1984.0,modernized,,True,True,True,True,False,apartment,162.0,district_heating,False,3,6.3,Oct19,9.817415730337078,Neu_Hohenschönhausen,Hohenschönhausen,Lichtenberg,2019-10,Lichtenberg,1800,1650,9.5,296000,14.5,38.83333333333333
Berlin,Berlin,Hellersdorf_Hellersdorf,314.78,415.51,41.97,1.0,2.0,5.0,1988.0,first_time_use_after_refurbishment,sophisticated,False,False,False,True,False,apartment,67.15,central_heating,False,6,7.0,Oct19,7.500119132713842,Hellersdorf,Hellersdorf,Marzahn-Hellersdorf,2019-10,Marzahn-Hellersdorf,1750,1600,10.8,269000,17.0,17.98742857142857
Berlin,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,2225.0,2565.0,165.68,4.0,6.0,6.0,1910.0,refurbished,sophisticated,True,True,True,True,False,roof_storey,200.0,district_heating,False,13,6.54,Feb20,13.429502655721873,Prenzlauer_Berg,Prenzlauer_Berg,Pankow,2020-02,Pankow,2200,2050,6.5,413000,9.5,101.13636363636364
Berlin,Berlin,Französisch_Buchholz_Pankow,792.0,1125.0,88.0,3.5,1.0,2.0,1890.0,well_kept,sophisticated,False,True,True,False,False,apartment,215.0,central_heating,False,9,10.23,May19,9.0,Französisch_Buchholz,Pankow,Pankow,2019-05,Pankow,2200,2050,6.5,413000,9.5,36.0
Berlin,Berlin,Charlottenburg_Charlottenburg,2380.0,2830.0,140.0,3.0,6.0,6.0,2018.0,,,True,True,True,True,False,penthouse,450.0,floor_heating,True,14,6.85,Oct19,17.0,Charlottenburg,Charlottenburg,Charlottenburg-Wilmersdorf,2019-10,Charlottenburg-Wilmersdorf,2400,2200,7.8,342000,11.2,99.16666666666667
