district_part,rent_per_sqm
Mitte,19.192132742363118
Prenzlauer_Berg,17.49903162230085
Tiergarten,17.242356737468633
Kreuzberg,17.18805264952013
Friedrichshain,17.015625487462504
Wilmersdorf,16.60651213203554
Schöneberg,15.869589917184259
Charlottenburg,15.734140331697523
Wedding,14.833103867807674
Zehlendorf,13.829084328020375
Neukölln,13.256069527683481
Treptow,12.588436013368396
Steglitz,12.394856383926225
Lichtenberg,12.335868099087271
Weißensee,12.206366712816433
Pankow,12.105421302708079
Tempelhof,11.988244347816668
Köpenick,11.562211414664961
Reinickendorf,11.047514631140377
Spandau,9.766914337144756
Hohenschönhausen,9.659300875630521
Hellersdorf,9.13108433892912
Marzahn,8.916870626168274
