neighborhood,avg_rent_per_sqm,listing_count
Mitte,19.192132742363118,779
Prenzlauer_Berg,17.49903162230085,473
Grunewald,17.441100276522363,93
Tiergarten,17.242356737468633,718
Kreuzberg,17.18805264952013,323
Friedrichshain,17.015625487462504,551
Wilmersdorf,16.855698067150318,370
Schöneberg,16.301732568909536,279
Heinersdorf,16.01856706756354,25
Charlottenburg,15.734140331697523,695
Dahlem,15.389645584203652,58
Nikolassee,15.053088391371295,29
Treptow,14.906493674326784,22
Wedding,14.833103867807674,397
Schmargendorf,14.760691551277462,92
Niederschöneweide,14.53718184521467,89
Neukölln,14.430930423924874,361
Tempelhof,13.910974525902107,91
Wannsee,13.612465283839533,39
Friedenau,13.190305476487561,45
Pankow,12.94654629213521,152
Steglitz,12.924090236082051,159
Marienfelde,12.893269098347963,87
Weißensee,12.858705044437102,163
Grünau,12.666144155439662,76
Friedrichsfelde,12.601047625356046,161
Adlershof,12.589953042947949,133
Zehlendorf,12.564992629388609,93
Lichterfelde,12.358863773002783,205
Lichtenberg,12.264313816289652,136
Rosenthal,12.241463747944163,55
Oberschöneweide,12.240292935659756,133
Tegel,11.884178360854383,76
Heiligensee,11.81670233723265,20
Britz,11.807334044273635,60
Niederschönhausen,11.615213534604514,91
Altglienicke,11.613280252447748,54
Karlshorst,11.577194680206436,55
Johannisthal,11.567678911775763,64
Hermsdorf,11.56711881722234,34
Reinickendorf,11.412950279463022,238
Französisch_Buchholz,11.404619412159409,64
Frohnau,11.397856341151305,35
Mariendorf,11.170281807103965,62
Lankwitz,11.156635460483162,62
Friedrichshagen,11.116744790873112,43
Köpenick,11.061055419660589,351
Mahlsdorf,10.73724594227712,32
Baumschulenweg,10.677254654170062,31
Wittenau,10.42968993838149,48
Biesdorf,10.217716515839285,114
Buch,10.194041928192709,24
Karow,10.115118299314735,91
Siemensstadt,10.009917188226526,50
Rudow,9.941247243864732,35
Alt_Hohenschönhausen,9.84071746294684,111
Spandau,9.760530101455148,415
Lichtenrade,9.732778548063225,90
Kaulsdorf,9.455619148726127,27
Neu_Hohenschönhausen,9.378824940725213,80
Buckow,9.375685762685317,57
Staaken,9.256093295851604,110
Hellersdorf,8.90990929785686,272
Waidmannslust,8.09889210584198,58
Marzahn,7.901141643822414,146
